samples	reef	species	site	warmed	replicates	morphology	pocType	temp	salinity	Domg	pH	PO4	N.N	silicate	NO2	NH4	prok	syn	peuk	pe.peuk	Hbact
242	Al-Lith2	Stylophora pistillata	RedSea	FALSE	FALSE	thick		27	40.1	6.22	8.12	0.1906	0.8442	1.4849	0.1188	0.1633	0	33915	4325	26	311476
243	Al-Fahal	Stylophora pistillata	RedSea	FALSE	FALSE	thin		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
244	Al-Fahal	Stylophora pistillata	RedSea	FALSE	FALSE	thick		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
248	Al-Fahal	Pocillopora verrucosa	RedSea	FALSE	FALSE		type3	26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
249	Al-Fahal	Pocillopora verrucosa	RedSea	FALSE	FALSE		type3	26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
250	Al-Fahal	Pocillopora verrucosa	RedSea	FALSE	FALSE		type3	26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
251	Al-Fahal	Stylophora pistillata	RedSea	FALSE	FALSE	thick		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
253	Al-Fahal	Stylophora pistillata	RedSea	FALSE	FALSE	thick		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
254	Al-Fahal	Stylophora pistillata	RedSea	FALSE	FALSE	thick		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
256	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thin															
257	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thin															
258	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thin															
259	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thick															
260	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thick															
261	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thick															
262	InnerFsar	Stylophora pistillata	RedSea	FALSE	FALSE	thick															
MIC-25	Yap1	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-50	Yap2	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-53	Yap2	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-53-rep2	Yap2	Stylophora pistillata	Micronesia	FALSE	TRUE																
MIC-85	Wol1	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-91	Wol1	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-145	Wol2	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-151	Wol2	Stylophora pistillata	Micronesia	FALSE	FALSE																
MIC-220	Olim2	Stylophora pistillata	Micronesia	FALSE	FALSE		type3	29.3	34.4	6.27	7.72	0.1121	0.039	1.0316	0.0094	0.0101	44513	6005	1155	7	420066
